Press release,,Origin,,Sampling date,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,
Fukushima,"19 May, 2011",Fukushima,"Kitashiobara
Village
(inland waters)","14 May, 2011","Whitespotted char(wild)
(Salvelinus leucomaenis)",,154,Not detectable,,Japan Chemical Analysis  Center,154,ND,f,f
Fukushima,"26 May, 2011",Fukushima,Kawamata Town (Abukuma River) (inland waters),"20 May, 2011","Whitespotted char(wild)
(Salvelinus leucomaenis)",220,,Not detectable,,Japan Chemical Analysis  Center,220,ND,f,f
Fukushima,"26 May, 2011",Fukushima,Dadami Town (Dagokura Lake) (inland waters),"17 May, 2011","Whitespotted char(wild)
(Salvelinus leucomaenis)",6.4,,Not detectable,,Japan Chemical Analysis  Center,6.4,ND,f,f
Fukushima,"26 May, 2011",Fukushima,"Inawashiro Town and Kitashiobara Village
(Akimoto Lake) (inland waters)","23 May, 2011","Whitespotted char(wild)
(Salvelinus leucomaenis)",350,,Not detectable,,Japan Chemical Analysis  Center,350,ND,f,f
Fukushima,"9 June, 2011",Fukushima,"Aizuwakamatsu
City
(Agagawa River)
(inland waters)","2 June, 2011","Whitespotted char(wild)
(Salvelinus leucomaenis)",,89,Not detectable,,Japan Chemical Analysis  Center,89,ND,f,f
Fukushima,"9 June, 2011",Fukushima,"Kitakata City
( Agagawa River)
(inland waters)","3 June, 2011","Whitespotted char(wild)
(Salvelinus leucomaenis)",,57,Not detectable,,Japan Chemical Analysis  Center,57,ND,f,f
Fukushima,"9 June, 2011",Fukushima,Fukushima City (Abukuma River) (inland waters),"3 June, 2011","Whitespotted char(wild)
(Salvelinus leucomaenis)",,179,Not detectable,,Japan Chemical Analysis  Center,179,ND,f,f
Fukushima,"16 June, 2011",Fukushima,Fukushima City (Abukuma River) (inland waters),"9 June, 2011","Whitespotted char(wild)
(Salvelinus leucomaenis)",,590,Not detectable,,Japan Chemical Analysis  Center,590,ND,f,f
Fukushima,"23 June, 2011",Fukushima,Inawashiro Town (Inawashiro Lake) (inland waters),"16 June, 2011","Whitespotted char(wild)
(Salvelinus leucomaenis)",,90,Not detectable,,Japan Chemical Analysis  Center,90,ND,f,f
Fukushima,"29 June, 2011",Fukushima,Koriyama City (Abukuma River) (inland waters),"18 June, 2011","Whitespotted char(wild)
(Salvelinus leucomaenis)",,196,Not detectable,,"Fukushima Agricultural Technology
Centre",196,ND,f,f
Fukushima,"6 July, 2011",Fukushima,Kitakata City (Agagawa River) (inland waters),"1 July, 2011","Whitespotted char(wild)
(Salvelinus leucomaenis)",,37,Not detectable,,"Fukushima Agricultural Technology
Centre",37,ND,f,f
Fukushima,"6 July, 2011",Fukushima,Aizu-misato Town (Agagawa River) (inland waters),"2 July, 2011","Whitespotted char(wild)
(Salvelinus leucomaenis)",,168,Not detectable,,"Fukushima Agricultural Technology
Centre",168,ND,f,f
Fukushima,"6 July, 2011",Fukushima,"Aizu-wakamatsu
City
(Agagawa River)
(inland waters)","1 July, 2011","Whitespotted char(wild)
(Salvelinus leucomaenis)",,57,Not detectable,,"Fukushima Agricultural Technology
Centre",57,ND,f,f
Fukushima,"13 July, 2011",Fukushima,Mishima Town (Agagawa River) (inland waters),"9 July, 2011","Whitespotted char(wild)
(Salvelinus leucomaenis)",,200,Not detectable,,"Fukushima Agricultural Technology
Centre",200,ND,f,f
Fukushima,"13 July, 2011",Fukushima,Tadami Town (Tagokura Lake) (inland waters),"7 July, 2011","Whitespotted char(wild)
(Salvelinus leucomaenis)",,27,Not detectable,,"Fukushima Agricultural Technology
Centre",27,ND,f,f
Fukushima,"27 July, 2011",Fukushima,Inawashiro Town (Inawashiro Lake) (inland waters),"22 July, 2011","Whitespotted char(wild)
(Salvelinus leucomaenis)",,75,Not detectable,,"Fukushima Agricultural Technology
Centre",75,ND,f,f
Fukushima,"27 July, 2011",Fukushima,Hinoemata Village (Agagawa River) (inland waters),"22 July, 2011","Whitespotted char(wild)
(Salvelinus leucomaenis)",,113,Not detectable,,"Fukushima Agricultural Technology
Centre",113,ND,f,f
Fukushima,"7 September,2011",Fukushima,Yanaizu Town (Agagawa River) (inland waters),"3 September,2011","Whitespotted char(wild)
(Salvelinus leucomaenis)",,51,Not detectable,,"Fukushima Agricultural Technology
Centre",51,ND,f,f
Fukushima,"14 September,2011",Fukusima,Inawashiro Town (Agagawa River) (inland waters),"11 September,2011","Whitespotted char(wild)
(Salvelinus leucomaenis)",,191,Not detectable,,"Fukushima Agricultural Technology
Centre",191,ND,f,f
Fukushima,"14 September,2011",Fukusima,Nishi-aizu Town (Agagawa River) (inland waters),"10 September,2011","Whitespotted char(wild)
(Salvelinus leucomaenis)",,25,Not detectable,,"Fukushima Agricultural Technology
Centre",25,ND,f,f
Fukushima,"14 September,2011",Fukusima,Kitakata City (Agagawa River) (inland waters),"10 September,2011","Whitespotted char(wild)
(Salvelinus leucomaenis)",,31,Not detectable,,"Fukushima Agricultural Technology
Centre",31,ND,f,f
Fukushima,"5 October,2011",Fukushima,"Bandai Town
(inland waters)","3 October,2011","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"5 October,2011",Fukushima,"Nishigo Village
(inland waters)","1 October,2011","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"12 October,2011",Fukushima,"Fukushima City
(inland waters)","6 October,2011","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"12 October,2011",Fukushima,"Tenei Village
(inland waters)","7 October,2011","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"12 October,2011",Fukushima,"Shimogo Town
(inland waters)","7 October,2011","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"19 October,2011",Fukushima,"Minami-aizu Town
(inland waters)","13 October,2011","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"26 October,2011",Fukushima,"Hinoemata Village
(inland waters)","21 October,2011","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"26 October,2011",Fukushima,"Dadami Town
(inland waters)","21 October,2011","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"26 October,2011",Fukushima,"Kawauchi Village
(inland waters)","21 October,2011","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"2 November ,2011",Fukushima,"Inawashiro Town
(inland waters)","28 October,2011","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Miyagi,"2 November ,2011",Miyagi,"Yamato Town
(inland waters)","31 October,2011","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,Tohoku University,ND,ND,f,f
Fukushima,"9 November ,2011",Fukushima,"Nishigo Village
(inland waters)","2 November ,2011","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",,8.1,Not detectable,,"Fukushima Agricultural Technology
Centre",8.1,ND,f,f
Fukushima,"16 November ,2011",Fukushima,"Shimogo Town
(inland waters)","9 November ,2011","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"16 November ,2011",Fukushima,"Tenei Village
(inland waters)","9 November ,2011","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"16 November ,2011",Fukushima,"Bandai Town
(inland waters)","11 November ,2011","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"24 November ,2011",Fukushima,"Minami-aizu Town
(inland waters)","16 November ,2011","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"30 November ,2011",Fukushima,"Fukushima City
(inland waters)","22 November ,2011","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"30 November ,2011",Fukushima,"Hiniemata Village
(inland waters)","24 November ,2011","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"7 December,2011",Fukushima,"Kawauchi Village
(inland waters)","29 November ,2011","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",,30,Not detectable,,"Fukushima Agricultural Technology
Centre",30,ND,f,f
Fukushima,"7 December,2011",Fukushima,"Inawashiro Town
(inland waters)","30 November ,2011","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"14 December,2011",Fukushima,"Nishigo Village
(inland waters)","12 December,2011","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",,27,Not detectable,,"Fukushima Agricultural Technology
Centre",27,ND,f,f
Fukushima,"14 December,2011",Fukushima,"Shimogo Town
(inland waters)","7 December,2011","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"14 December,2011",Fukushima,"Tenei Village
(inland waters)","7 December,2011","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"14 December,2011",Fukushima,"Bandai Town
(inland waters)","7 December,2011","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"21 December,2011",Fukushima,"Kawauchi Village
(inland waters)","15 December,2011","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"21 December,2011",Fukushima,"Tadami Town
(inland waters)","14 December,2011","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"28 December,2011",Fukushima,"Minami-aizu Town
(inland waters)","20 December,2011","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"28 December,2011",Fukushima,"Fukushiima City
(inland waters)","20 December,2011","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"28 December,2011",Fukushima,"Hinoemata Village
(inland waters)","20 December,2011","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"11 January,2012",Fukuahima,"Nishigo Village
(inland waters)","5 January,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"11 January,2012",Fukuahima,"Bandai Town
(inland waters)","6 January,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",,30,Not detectable,,"Fukushima Agricultural Technology
Centre",30,ND,f,f
Fukushima,"25 January,2012",Fukushima,"Tadami Town
(inland waters)","18 January,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"25 January,2012",Fukushima,"Hinoemata Village
(inland waters)","18 January,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"25 January,2012",Fukushima,"Tenei Village
(inland waters)","19 January,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"25 January,2012",Fukushima,"Minami-aizu Town
(inland waters)","19 January,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"25 January,2012",Fukushima,"Kawauchi Village
(inland waters)","19 January,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"25 January,2012",Fukushima,"Fukushima City
(inland waters)","22 January,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Chiba,"2 February,2012",Chiba,"Kashiwa City
(inland waters)","1 February,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,Tokyo Quarantine Station,ND,ND,f,f
Fukushima,"8 February,2012",Fukushima,"Nishigo Village
(inland waters)","2 February,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",,7.2,Not detectable,,"Fukushima Agricultural Technology
Centre",7.2,ND,f,f
Fukushima,"15 February,2012",Fukushima,"Bandai Town
(inland waters)","8 February,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"22 February,2012",Fukushima,"Kawauchi Village
(inland waters)","16 February,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"22 February,2012",Fukushima,"Fukushima City
(inland waters)","19 February,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"29 February,2012",Fukushima,"Tadami Town
(inland waters)","22 February,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"29 February,2012",Fukushima,"Hinoemata Village
(inland waters)","22 February,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"29 February,2012",Fukushima,"Minami-aizu Town
(inland waters)","23 February,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"29 February,2012",Fukushima,"Shimogo Town
(inland waters)","23 February,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"29 February,2012",Fukushima,"Tenei Village
(inland waters)","23 February,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Tochigi,"8 March,2012",Tochigi,"Nikko City
(inland waters)","1 March,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Tochigi Prefectural Agricultural
Experiment Station",ND,ND,f,f
Tochigi,"8 March,2012",Tochigi,"Nikko City
(inland waters)","2 March,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Tochigi Prefectural Agricultural
Experiment Station",ND,ND,f,f
Tochigi,"8 March,2012",Tochigi,"Nasu-shiobara City
(inland waters)","5 March,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Tochigi Prefectural Agricultural
Experiment Station",ND,ND,f,f
Gunma,"12 March,2012",Gunma,"Kawaba Village
(inland waters)","1 March,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,f,f
Gunma,"12 March,2012",Gunma,"Kawaba Village
(inland waters)","6 March,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,f,f
Gunma,"12 March,2012",Gunma,"Higashi-agatsuma
Town
(inland waters)","6 March,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,f,f
Fukushima,"14 March,2012",Fukushima,"Fukushima City
(inland waters)","9 March,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"14 March,2012",Fukushima,"Minami-aizu Town
(inland waters)","9 March,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"14 March,2012",Fukushima,"Bandai Town
(inland waters)","12 March,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"21 March,2012",Fukushima,Nishigo Village,"15 March,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"21 March,2012",Fukushima,Shimogo Town,"14 March,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"21 March,2012",Fukushima,Kawauchi Village,"14 March,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"21 March,2012",Fukushima,Tenei Village,"14 March,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"28 March,2012",Fukushima,"Tadami Town
(inland waters)","26 March,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",,11,Not detectable,,"Fukushima Agricultural Technology
Centre",11,ND,f,f
Fukushima,"28 March,2012",Fukushima,"Hinoemata Village
(inland waters)","26 March,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",,23,Not detectable,,"Fukushima Agricultural Technology
Centre",23,ND,f,f
Tochigi,"28 March,2012",Tochigi,"Nikko City
(inland waters)","26 March,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Tochigi Prefectural Agricultural
Experiment Station",ND,ND,f,f
Tochigi,"30 March,2012",Tochigi,"Nikko City
(inland waters)","26 March,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Tochigi Prefectural Agricultural
Experiment Station",ND,ND,f,f
Tochigi,"30 March,2012",Tochigi,"Nikko City
(inland waters)","26 March,2012","Whitespotted char(farmed)
(Salvelinus  leucomaenis)",Not detectable,,Not detectable,,"Tochigi Prefectural Agricultural
Experiment Station",ND,ND,f,f
Fukushima,"31,March, 2011",Fukushima,"Nishigo Village
(inland waters)","30,March, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,13,,Japan Chemical Analysis  Center,ND,13,f,f
Tochigi Aquaculture Fisheries Cooperative,"4,April, 2011",Tochigi,"Sakura City
(inland waters)","25,March, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,,,Private inspection facility,ND,0,f,f
Tochigi Aquaculture Fisheries Cooperative,"4,April, 2011",Tochigi,"Nikko City
(inland waters)","26,March, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,,,Private inspection facility,ND,0,f,f
Fukushima,"7,April, 2011",Fukushima,"Nishigo Village
(inland waters)","6,April, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,,8.1,Japan Chemical Analysis  Center,ND,8.1,f,f
Fukushima,"26 May, 2011",Fukushima,"Kawauchi Village
(inland waters)","23 May, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,Japan Chemical Analysis  Center,ND,ND,f,f
Fukushima,"26 May, 2011",Fukushima,"Fukushima City
(inland waters)","24 May, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,Japan Chemical Analysis  Center,ND,ND,f,f
Fukushima,"2 June, 2011",Fukushima,"Bandai Town
(inland waters)","30 May, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,Japan Chemical Analysis  Center,ND,ND,f,f
Fukushima,"2 June, 2011",Fukushima,"Minami-aizu Town
(inland waters)","30 May, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,Japan Chemical Analysis  Center,ND,ND,f,f
Fukushima,"9 June, 2011",Fukushima,Tenei Village,"3 June, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,Japan Chemical Analysis  Center,ND,ND,f,f
Fukushima,"16 June, 2011",Fukushima,"Tadami Town
(inland waters)","10 June, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,Japan Chemical Analysis  Center,ND,ND,f,f
Fukushima,"16 June, 2011",Fukushima,"Hinoemata Village
(inland waters)","10 June, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,Japan Chemical Analysis  Center,ND,ND,f,f
Fukushima,"16 June, 2011",Fukushima,"Yamatsuri Town
(inland waters)","9 June, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,Japan Chemical Analysis  Center,ND,ND,f,f
Fukushima,"23 June, 2011",Fukushima,"Nishigo Village
(inland waters)","17 June, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,Japan Chemical Analysis  Center,ND,ND,f,f
Fukushima,"13 July, 2011",Fukushima,"Bandai Town
(inland waters)","7 July, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"13 July, 2011",Fukushima,"Nishigo Village
(inland waters)","8 July, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"13 July, 2011",Fukushima,"Fukushima City
(inland waters)","8 July, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"20 July, 2011",Fukushima,"Tadami Town
(inland waters)","13 July, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"20 July, 2011",Fukushima,"Mishima Town
(inland waters)","13 July, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"20 July, 2011",Fukushima,"Hinoemata Village
(inland waters)","14 July, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"20 July, 2011",Fukushima,"Minamiaizu Town
(inland waters)","14 July, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"20 July, 2011",Fukushima,"Kawauchi Village
(inland waters)","15 July, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",,29,Not detectable,,"Fukushima Agricultural Technology
Centre",29,ND,f,f
Fukushima,"27 July, 2011",Fukushima,"Shimogo Town
(inland waters)","212 July, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"27 July, 2011",Fukushima,"Tenei Village
(inland waters)","21 July, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"10 August, 2011",Fukushima,"Shimogo Town
(inland waters)","4 August, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"10 August, 2011",Fukushima,"Tenei Village
(inland waters)","4 August, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"10 August, 2011",Fukushima,"Nishigo Village
(inland waters)","5 August, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"10 August, 2011",Fukushima,"Fukushima City
(inland waters)","5 August, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"16 August, 2011",Fukushima,"Bandai Town
(inland waters)","10 August, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"16 August, 2011",Fukushima,"Minami-aizu Town
(inland waters)","11 August, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"16 August, 2011",Fukushima,"Hinoemata Village
(inland waters)","11 August, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"31 August, 2011",Fukushima,"Kawauchi Village
(inland waters)","24 August, 2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"14 September,2011",Fukusima,"Tenei Village
(inland waters)","8 September,2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Fukushima,"14 September,2011",Fukusima,"Shimogo Town
(inland waters)","8 September,2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,f,f
Miyagi,"14 September,2011",Miyagi,"Kurihara City
(inland waters)","12 September,2011","Whitespotted char(farmed)
(Salvelinus leucomaenis)",,5,Not detectable,,Tohoku University,5,ND,f,f
